date,total_volume
2020-03-03,117806707939224592415.000000000
2020-03-02,74818994773796908127.000000000
2020-03-01,299874577507938315621.000000000
2020-02-29,55545748723396494389.000000000
2020-02-28,112891524206554771809.000000000
2020-02-27,615683833991057646045.000000000
2020-02-26,240413399031746070695.000000000
2020-02-25,638731454301761633729.000000000
2020-02-24,167445231876839180836.000000000
2020-02-23,110877416403208169163.000000000
2020-02-22,295537813948278065251.000000000
2020-02-21,145774931073455041083.000000000
2020-02-20,148766726858607749266.000000000
2020-02-19,132920637778711786582.000000000
2020-02-18,103091729210847185240.000000000
2020-02-17,169015423722773326761.000000000
2020-02-16,143518255312813577600.000000000
2020-02-15,390290617361007210162.000000000
2020-02-14,112543010064090741699.000000000
2020-02-13,140468854233802047095.000000000
2020-02-12,218913367801346607944.000000000
2020-02-11,77340810562689381353.000000000
2020-02-10,117762623059717487384.000000000
2020-02-09,125589724160168457668.000000000
2020-02-08,105127254523450039790.000000000
2020-02-07,213443845556005887855.000000000
2020-02-06,132310510591583341809.000000000
2020-02-05,416330224094122526124.000000000
2020-02-04,36890747664616746014.000000000
2020-02-03,43145946058746015242.000000000
2020-02-02,130287618887422896671.000000000
2020-02-01,84334414090775071273.000000000
2020-01-31,188838190391045381447.000000000
2020-01-30,60081583438091722651.000000000
2020-01-29,162832872970226901123.000000000
2020-01-28,40028116977962740617.000000000
2020-01-27,23432789573421046015.000000000
2020-01-26,30836802326463253474.000000000
2020-01-25,13588848539818333198.000000000
2020-01-24,25539275339264876184.000000000
2020-01-23,25640456900958856173.000000000
2020-01-22,49955950387535548559.000000000
2020-01-21,39748388744647134555.000000000
2020-01-20,323253031348568263289.000000000
2020-01-19,67266089207310875414.000000000
2020-01-18,58073656936615639803.000000000
2020-01-17,49842674655453624640.000000000
2020-01-16,473945985550126937444.000000000
2020-01-15,126250168893155816071.000000000
2020-01-14,231727720206316526932.000000000
2020-01-13,52572768938128492871.000000000
2020-01-12,64556906814614028679.000000000
2020-01-11,47690657790213075943.000000000
2020-01-10,72378153286951321822.000000000
2020-01-09,346611485234581951451.000000000
2020-01-08,82533697712385617994.000000000
2020-01-07,53297348239594772813.000000000
2020-01-06,109691593875145286611.000000000
2020-01-05,31507240193286874492.000000000
2020-01-04,60097275517396801453.000000000
2020-01-03,57380905846593494347.000000000
2020-01-02,66256531154528220239.000000000
2020-01-01,29599942591263060544.000000000
2019-12-31,138182099021195236299.000000000
2019-12-30,71169476712740099267.000000000
2019-12-29,68228430894645742493.000000000
2019-12-28,46724854740982483176.000000000
2019-12-27,55751751067882309805.000000000
2019-12-26,109345239226432155834.000000000
2019-12-25,38561816159789270961.000000000
2019-12-24,45145067452882912943.000000000
2019-12-23,114467890295961069410.000000000
2019-12-22,89428046986284955976.000000000
2019-12-21,36352183053709291826.000000000
2019-12-20,80292510517543433464.000000000
2019-12-19,87306943329749921128.000000000
2019-12-18,826810043778892535980.000000000
2019-12-17,421401210084549715256.000000000
2019-12-16,26545598908017732645.000000000
2019-12-15,426541838805448917277.000000000
2019-12-14,52647295454819638401.000000000
2019-12-13,44462429525691225814.000000000
2019-12-12,94688857608948057387.000000000
2019-12-11,57450035623660052054.000000000
2019-12-10,336307764847218350902.000000000
2019-12-09,20954775316557749074.000000000
2019-12-08,88735149772413308698.000000000
2019-12-07,120749726832413739902.000000000
2019-12-06,93759761286157631692.000000000
2019-12-05,41002888717382735604.000000000
2019-12-04,70020446667982402243.000000000
2019-12-03,85671251938808089404.000000000
2019-12-02,42372877563308221325.000000000
2019-12-01,33803828987651326667.000000000
2019-11-30,39455917139105765101.000000000
2019-11-29,89246395797955158480.000000000
2019-11-28,49236650681075408990.000000000
2019-11-27,281910085322319064890.000000000
2019-11-26,2466519072336412809180.000000000
2019-11-25,213880145143037837694.000000000
2019-11-24,44577765311192224332.000000000
2019-11-23,47811178464083673713.000000000
2019-11-22,139140915434122761557.000000000
2019-11-21,90161022489054040369.000000000
2019-11-20,345194006916634488023.000000000
2019-11-19,2079695312504061421769.000000000
2019-11-18,6567482168727864011702.000000000
2019-11-17,129395097607874901807.000000000
2019-11-16,132676289280992776088.000000000
2019-11-15,182889473703090565872.000000000
2019-11-14,76243399357218199605.000000000
2019-11-13,80857358265844393077.000000000
2019-11-12,39856724454588827299.000000000
2019-11-11,76273138874462962193.000000000
2019-11-10,66395718309016351450.000000000
2019-11-09,62617337165425711493.000000000
2019-11-08,101161445410535351616.000000000
2019-11-07,144776596104393979409.000000000
2019-11-06,88685944433875772023.000000000
2019-11-05,92105391293203232263.000000000
2019-11-04,220517824021673582120.000000000
2019-11-03,47617485550379645577.000000000
2019-11-02,139414751453177419984.000000000
2019-11-01,437121754188651263785.000000000
2019-10-31,56605897287235056905.000000000
2019-10-30,45430542489291380247.000000000
2019-10-29,592769622761787652747.000000000
2019-10-28,111704751988456219232.000000000
2019-10-27,166215120426686907244.000000000
2019-10-26,98210141344752245343.000000000
2019-10-25,37367544439336041493.000000000
2019-10-24,179393114702196414966.000000000
2019-10-23,128059552358519895530.000000000
2019-10-22,97060927803717451526.000000000
2019-10-21,134760822089422296745.000000000
2019-10-20,4253475556671406062.000000000
