date,volume
2020-05-01,321708689.146387942
2020-04-30,317313466.34788929
2020-04-29,165984765.391611724
2020-04-28,292856356.857154781
2020-04-27,160602001.777247068
2020-04-26,163558339.589779964
2020-04-25,161466504.931004661
2020-04-24,305739758.715153443
2020-04-23,118275772.299192576
2020-04-22,142636505.263057013
2020-04-21,78372434.835316605
2020-04-20,135204294.292191766
2020-04-19,38277156.277645609
2020-04-18,185866943.65983186
2020-04-17,45976822.287780968
2020-04-16,76196970.810647158
2020-04-15,39490681.400502264
2020-04-14,57542041.847447809
2020-04-13,143704836.702429317
2020-04-12,43744582.514502819
2020-04-11,34668835.652100006
2020-04-10,112524331.81970778
2020-04-09,129988802.488802933
2020-04-08,117645352.30728573
2020-04-07,288853798.23218708
2020-04-06,319345614.049955767
2020-04-05,137952281.354732828
2020-04-04,29629255.685014582
2020-04-03,41749545.126060978
2020-04-02,122941632.368730579
2020-04-01,57218273.611509269
2020-03-31,104780934.502536147
2020-03-30,246546425.570256952
2020-03-29,39016272.437786927
2020-03-28,113536518.041496653
2020-03-27,422594410.591852122
2020-03-26,97603937.246069273
2020-03-25,63044010.263344622
2020-03-24,77114077.422239098
2020-03-23,142942010.307738936
2020-03-22,500325621.649598437
2020-03-21,44610962.673961963
2020-03-20,128977715.557901966
2020-03-19,224383044.693391834
2020-03-18,289132215.914278764
2020-03-17,97046142.315931968
2020-03-16,248026241.575813262
2020-03-15,376953025.114599078
2020-03-14,234404629.467698462
2020-03-13,484842233.842122527
2020-03-12,363298540.093091479
2020-03-11,115329504.768379654
2020-03-10,105819613.580795387
2020-03-09,220555880.708299332
2020-03-08,103457688.232675489
2020-03-07,384299053.374641218
2020-03-06,201540845.723477747
2020-03-05,65258402.112574203
2020-03-04,84551180.129338372
2020-03-03,117807157.939224592
2020-03-02,74819194.773796908
